ID,date,S,K,T,r,sigma,option_type,asset_class
1,2025-09-01,1.1248357076505617,1.147030624828063,0.3964354168406294,0.016239780813448106,2.5,call,FX
2,2025-09-02,98.61735698828815,105.8396217259846,1.2421185223120967,0.03832290311184182,0.16452090304204986,call,Equity
3,2025-09-03,95.30525614065049,89.27061328437183,0.6780602616231216,0.030990257265289513,0.19545624180177515,call,Equity
4,2025-09-04,105.42560043585965,101.02364178623324,-0.1,0.015579754426081673,0.25798625466052894,call,Equity
5,2025-09-05,1.0545987962239396,1.114748041343355,0.4793801861008835,0.030569377536544463,0.09560699842170359,call,FX
6,2025-09-06,1.0293848149332354,0.9360094033401813,1.2543352186127328,0.016820964947491662,0.10924145688620425,put,FX
7,2025-09-07,1.0699680655040598,1.0571610814043235,0.3318726462050798,0.029807076404450808,0.11842330265121569,put,FX
8,2025-09-08,97.08306250206724,105.03067813774437,0.5916819650400321,0.03650089137415928,0.1585971302788046,call,Equity
9,2025-09-09,51.04431797502378,47.82704009891038,1.9422107927526613,0.041005312934444586,0.41868411173731185,put,Commodity
10,2025-09-10,40.201649380601125,43.37619152215394,1.2360099597410616,0.04687496940092467,,call,Commodity
11,2025-09-11,49.4217585880588,47.16169199753952,1.6746012673886657,0.02427013306774357,0.3554709158757928,put,Commodity
12,2025-09-12,96.98896304410711,97.81717281041982,0.367756027452049,0.042087879230161586,0.22023362742184519,put,Equity
13,2025-09-13,46.61538999847021,49.556461501849526,1.4430289533104725,0.039160286721639494,0.20220884684944096,call,Commodity
14,2025-09-14,1.1305838144420435,1.0342681699571512,0.7810848842341179,0.014634762381005188,0.12712703466859457,put,FX
15,2025-09-15,1.1165631715701783,1.0191002370481868,-0.1,0.023007332881069882,0.08308980248526492,call,FX
16,2025-09-16,54.877725635611796,56.38749387004378,1.7857042108950203,0.028888597006477973,0.49184247133522563,call,Commodity
17,2025-09-17,103.61636025047635,104.88622428617647,1.5648376419136658,0.02975182385457563,0.3401962621542244,put,Equity
18,2025-09-18,1.067744012269744,1.0522704835131795,0.14829634081378087,0.014315657079732178,0.1022732829381994,put,FX
19,2025-09-19,50.435235341190854,50.52168830637655,1.8243763004595768,0.019971689165954997,0.32574239243053066,call,Commodity
20,2025-09-20,1.0850496324767067,1.1405067662677344,0.5347165144340826,0.01307919639315172,0.09103829230356297,call,FX
21,2025-09-21,91.91506397106812,97.57924485075876,1.3034671373698046,0.04485842360750871,0.38242441308564323,call,Equity
22,2025-09-22,47.491214782077314,44.51418105156189,1.7958620971309578,0.03157368967662603,0.5214688307596458,put,Commodity
23,2025-09-23,1.0648973453061326,1.049372800829054,1.6542280552527369,0.04442922333025374,0.07279351625419417,call,FX
24,2025-09-24,96.72337853402232,96.93128161710824,0.8930809059826801,0.01888431241882921,0.15173803263279767,call,Equity
25,2025-09-25,48.286427417366156,46.57904765924957,1.0857021813123955,0.03812075835580712,0.5771638815650076,put,Commodity
26,2025-09-26,91.9772273077838,100.6558688802169,1.9286498603900113,0.020071291833014565,0.2409074005948235,put,Equity
27,2025-09-27,40.40614392350479,36.66362139189552,1.258172234561804,0.03010716092915446,0.313936197750987,put,Commodity
28,2025-09-28,1.0986743062275393,1.0500352177603685,1.825705183336642,0.019582475626678898,0.05514787512499894,put,FX
29,2025-09-29,99.65288230294756,94.51189516920152,1.377057540071169,0.0404647846131487,0.39641261352765017,call,Equity
30,2025-09-30,1.0415660981190236,1.0891065804691489,0.798787952166581,0.03529223322374318,0.07376375439923996,put,FX
31,2025-09-01,52.93428546900135,56.484085072999214,0.709482123446298,0.01746074041599417,0.23611590802176333,put,Commodity
32,2025-09-02,121.90455625809979,124.12060903937085,1.3873722875003365,0.010663513157114246,,put,Equity
33,2025-09-03,84.49336568933867,78.99059041037738,1.4127817023946851,0.0254694138520215,0.31129319760236246,call,Equity
34,2025-09-04,1.1034281487403015,1.0234342300286778,0.7480260669954911,0.014538940849623563,0.14367299887367344,put,FX
35,2025-09-05,54.06758608684835,54.66450101349192,1.1063360988764124,0.01967409163601807,0.5268888800804863,put,Commodity
36,2025-09-06,43.84567841783022,47.32891729497348,1.8107943086103278,0.035324058290930715,0.23724110712235968,put,Commodity
37,2025-09-07,87.63049289121918,94.59028645358009,1.7854642061037227,0.04119502183430496,0.33148891971755984,call,Equity
38,2025-09-08,1.0339771693457862,0.9479792129780944,0.40709455677976614,0.04594216754108317,0.11420316461542877,put,FX
39,2025-09-09,51.46536236649341,47.97403505737432,1.1425941997965137,0.037675807907707734,0.20202463353848749,call,Commodity
40,2025-09-10,92.85648581973632,87.73580922850799,1.453140520560318,0.019489963499872004,2.5,put,Equity
41,2025-09-11,1.1579297789503702,1.238805016253934,1.3494644953706523,0.03273234413341886,0.11496328990472146,call,FX
42,2025-09-12,91.7931768164829,89.36461948052452,0.6038844985952784,0.019759585735163343,0.1734186919570231,put,Equity
43,2025-09-13,1.096144914529295,1.124894302126347,1.610141476729132,0.030105483724207686,0.13920465551771133,call,FX
44,2025-09-14,103.41151974816644,103.25676841748397,0.47096167681628454,0.03889808461046022,0.29422597115658977,call,Equity
45,2025-09-15,44.645537509694435,48.698714571952685,1.838242341418852,0.024806348010217777,0.5761834337411657,call,Commodity
46,2025-09-16,52.41236207621593,56.90219959347838,0.9135498818028972,0.04866619276174678,0.20618264661154698,put,Commodity
47,2025-09-17,-10.0,88.18056151434196,0.4220362187035757,0.03227205049833401,0.3627841678792142,call,Equity
48,2025-09-18,84.85152775314135,88.17821329974319,1.1831162231697934,0.013887059750830742,0.38403869354019526,call,Equity
