date,S,K,T,r,sigma,option_type,asset_class,price,delta,gamma,vega,rho,theta,error
2025-09-01,1.1248357076505615,1.147030624828063,0.3964354168406294,0.0162397808134481,2.5,call,FX,0.6365595384731924,0.7819263874706273,0.16638610955523955,0.20864487017428407,0.09632555365971973,-0.6618237989102227,
2025-09-02,98.61735698828817,105.8396217259846,1.2421185223120967,0.0383229031118418,0.1645209030420498,call,Equity,6.194215842046894,0.48636991411955266,0.02204959067657989,43.82191703447678,51.88366282443516,-4.502906256377286,
2025-09-03,95.30525614065049,89.27061328437183,0.6780602616231216,0.0309902572652895,0.1954562418017751,call,Equity,10.62791943879855,0.7315330252523742,0.021494220675229825,25.874576246222396,40.06727445272818,-5.560521788776798,
2025-09-04,105.42560043585964,101.02364178623324,-0.1,0.0155797544260816,0.2579862546605289,call,Equity,,,,,,,T and sigma must be positive
2025-09-05,1.0545987962239396,1.114748041343355,0.4793801861008835,0.0305693775365444,0.0956069984217035,call,FX,0.011693954844759269,0.2797909541461284,4.82025408610321,0.2457051375416986,0.13584352064609054,-0.03316410998629552,
2025-09-06,1.0293848149332354,0.9360094033401812,1.2543352186127328,0.0168209649474916,0.1092414568862042,put,FX,0.010873846289815164,-0.15604425290354818,1.9004365413758635,0.2759370309454523,-0.21512279322277034,-0.009130979103917544,
2025-09-07,1.0699680655040598,1.0571610814043235,0.3318726462050798,0.0298070764044508,0.1184233026512156,put,FX,0.018667967319876078,-0.3610628629257937,5.1304423907096846,0.23083681526792454,-0.13440633101161104,-0.029113484800680146,
2025-09-08,97.08306250206724,105.03067813774436,0.5916819650400321,0.0365008913741592,0.1585971302788046,call,Equity,2.530772523670297,0.3420170673845049,0.031007244675814154,27.42418742635471,18.148833570016453,-4.795054578922099,
2025-09-09,51.04431797502378,47.82704009891038,1.9422107927526613,0.0410053129344445,0.4186841117373118,put,Commodity,7.811372463820424,-0.2946636503490607,0.011578496057838833,24.53182210021667,-44.3839400537036,-1.707108586704253,
2025-09-10,40.201649380601125,43.37619152215394,1.2360099597410616,0.0468749694009246,,call,Commodity,,,,,,,
2025-09-11,49.4217585880588,47.16169199753952,1.6746012673886657,0.0242701330677435,0.3554709158757928,put,Commodity,6.697002725806286,-0.33720166785936356,0.01606596473997026,23.35923888980794,-39.12220586965962,-1.9122545415207854,
2025-09-12,96.98896304410712,97.81717281041982,0.367756027452049,0.0420878792301615,0.2202336274218451,put,Equity,4.815827456058145,-0.45263605650844285,0.030580809990986144,23.298987481829602,-17.91579725469294,-4.9260167551118625,
2025-09-13,46.61538999847021,49.556461501849526,1.4430289533104723,0.0391602867216394,0.2022088468494409,call,Commodity,4.408423541955813,0.5407078005661119,0.035048888033715364,22.223276284533735,30.01050208050952,-2.371464130112212,
2025-09-14,1.1305838144420437,1.0342681699571512,0.7810848842341179,0.0146347623810051,0.1271270346685945,put,FX,0.012249029741537909,-0.1709503586891088,1.999277370893134,0.25375506995593183,-0.16053070429042174,-0.01764243087251137,
2025-09-15,1.1165631715701785,1.0191002370481868,-0.1,0.0230073328810698,0.0830898024852649,call,FX,,,,,,,T and sigma must be positive
2025-09-16,54.8777256356118,56.38749387004378,1.7857042108950203,0.0288885970064779,0.4918424713352256,call,Commodity,14.635655696560285,0.6427504770509509,0.010344834010729656,27.36221716516625,36.85162893423847,-4.364408206928342,
2025-09-17,103.61636025047636,104.88622428617649,1.5648376419136658,0.0297518238545756,0.3401962621542244,put,Equity,15.469080593549144,-0.3845474993459824,0.008665716863173424,49.529048233923376,-86.55820050685091,-3.7381093394559146,
